numero_de_proyecto,clave_de_programa,Fondo,id_entidad,entidad,id_municipio,municipio,proyecto,monto,Pagado
1,U128,PROYECTOS DE DESARROLLO REGIONAL,28,TAMAULIPAS,3,ALTAMIRA,INFRAESTRUCTURA VIAL EN EL MUNICIPIO DE ALTAMIRA EN EL ESTADO DE TAMAULIPAS,5600000,0
2,U128,PROYECTOS DE DESARROLLO REGIONAL,28,TAMAULIPAS,9,CIUDAD MADERO,"INFRAESTRUCTURA VIAL EN EL MUNICIPIO DE MADERO ,   EN EL MUNICIPIO DE CIUDAD MADERO ,   EN EL ESTADO DE TAMAULIPAS",10000000,0
3,U128,PROYECTOS DE DESARROLLO REGIONAL,28,TAMAULIPAS,38,TAMPICO,INFRAESTRUCTURA VIAL EN EL MUNICIPIO DE TAMPICO EN EL ESTADO DE TAMAULIPAS,25600000,0
4,U128,PROYECTOS DE DESARROLLO REGIONAL,17,MORELOS,7,CUERNAVACA,"PASO ELEVADO JACARANDAS COL. PUERTA DEL SOL EN EL MUNICIPIO DE CUERNAVACA ,   MORELOS",10000000,0
5,U128,PROYECTOS DE DESARROLLO REGIONAL,16,MICHOACÁN,58,NUEVO PARANGARICUTIRO,"PAVIMENTACIÓN Y DRENAJE DE LA AVENIDA 12 DE MAYO ,   EN EL MUNICIPIO DE NUEVO PARANGARICUTIRO ,   EN EL ESTADO DE MICHOACÁN",2945211,0
6,U128,PROYECTOS DE DESARROLLO REGIONAL,1,AGUASCALIENTES,3,CALVILLO,"REHABILITACIÓN DE ANDADOR CENTENARIO ,   EN CALVILLO ,   AGUASCALIENTES",4000000,0
7,U128,PROYECTOS DE DESARROLLO REGIONAL,19,NUEVO LEÓN,39,MONTERREY,"REMODELACION DE PLAZAS PUBLICAS EN EL MUNICIPIO DE MONTERREY ,   CIRCUITO PUERTA DE HIERRO-PARQUE LINEAL TEMATICO ETAPA 1 PUERTA DE HIERRO -PROLONGACION LUIS CORTINES Y PASEO DE LOS LEONES EN EL ESTADO DE NUEVO LEÓN",5500000,0
8,U128,PROYECTOS DE DESARROLLO REGIONAL,1,AGUASCALIENTES,3,CALVILLO,"1ERA ETAPA DE LA REHABILITACIÓN DE LA CALLE SAN ISIDRO ,   EN LA COMUNIDAD DE LA FORTUNA ,   CALVILLO ,   AGUASCALIENTES",1500000,0
9,U128,PROYECTOS DE DESARROLLO REGIONAL,1,AGUASCALIENTES,3,CALVILLO,"1ERA ETAPA DE LA REHABILITACIÓN DE LA CALLE VISTA HERMOSA ,   EN FRACC. VISTA HERMOSA ,   CALVILLO ,   AGUASCALIENTES",5000000,0
10,U128,PROYECTOS DE DESARROLLO REGIONAL,1,AGUASCALIENTES,3,CALVILLO,"1ERA ETAPA DE REHABILITACIÓN DE LA CALLE RIO GRIJALVA ,   EN LA COMUNIDAD DE LA LABOR ,   CALVILLO ,   AGUASCALIENTES",3000000,0
11,U128,PROYECTOS DE DESARROLLO REGIONAL,7,CHIAPAS,89,TAPACHULA,"3A ETAPA DEL MALECÓN DE PUERTO CHIAPAS EN TAPACHULA ,   CHIAPAS",40000000,0
12,U128,PROYECTOS DE DESARROLLO REGIONAL,21,PUEBLA,142,SAN SALVADOR EL SECO,ADOQUINAMIENTO DE CALLE 7 SUR EN LA LOCALIDAD DE EL SECO DEL MUNICIPIO DE SAN SALVADOR EL SECO DEL ESTADO DE PUEBLA,2000000,0
13,U128,PROYECTOS DE DESARROLLO REGIONAL,21,PUEBLA,96,MAZAPILTEPEC DE JUÁREZ,ADOQUINAMIENTO DE CALLE LA PALMA EN LA LOCALIDAD DE MAZAPILTEPEC DEL MUNICIPIO DE MAZAPILTEPEC DE JUÁREZ DEL ESTADO DE PUEBLA,1500000,0
14,U128,PROYECTOS DE DESARROLLO REGIONAL,21,PUEBLA,113,PIAXTLA,"ADOQUINAMIENTO DE LA CALLE 16 DE SEPTIEMBRE EN LA LOCALIDAD DE PROGRESO ,   EN EL MUNICIPIO DE PIAXTLA ,   EN EL ESTADO DE PUEBLA",1298000,0
15,U128,PROYECTOS DE DESARROLLO REGIONAL,21,PUEBLA,19,ATLIXCO,"ADOQUINAMIENTO DE LA CALLE 20 DE NOVIEMBRE EN SAN FÉLIX HIDALGO ,   ATLIXCO EN EL ESTADO DE PUEBLA",697262,0
16,U128,PROYECTOS DE DESARROLLO REGIONAL,21,PUEBLA,19,ATLIXCO,"ADOQUINAMIENTO DE LA CALLE ANTONIO CARBAJAL EN LA COLONIA SANTA MÓNICA ,   ATLIXCO EN EL ESTADO DE PUEBLA",1463425,0
17,U128,PROYECTOS DE DESARROLLO REGIONAL,21,PUEBLA,34,CORONANGO,"ADOQUINAMIENTO DE LA CALLE BELISARIO DOMINGUEZ ENTRE CAMINO VIEJO DE LA REPUBLICA Y CALLE LA JUNTA EN SAN ANTONIO MIHUACAN ,   EN EL MUNICIPIO DE CORONANGO ,   EN EL ESTADO DE PUEBLA",1500000,0
18,U128,PROYECTOS DE DESARROLLO REGIONAL,21,PUEBLA,19,ATLIXCO,ADOQUINAMIENTO DE LA CALLE BENITO JUÁREZ EN LA LOCALIDAD DE GUADALUPE HUEXOCOAPAN DEL MUNICIPIO DE ATLIXCO EN EL ESTADO DE PUEBLA,1600588,0
19,U128,PROYECTOS DE DESARROLLO REGIONAL,21,PUEBLA,19,ATLIXCO,"ADOQUINAMIENTO DE LA CALLE BUGAMBILIA EN LAS LOMAS DE TEJALUCA ,   ATLIXCO EN EL ESTADO DE PUEBLA",2187660,0
20,U128,PROYECTOS DE DESARROLLO REGIONAL,21,PUEBLA,19,ATLIXCO,"ADOQUINAMIENTO DE LA CALLE CORREGIDORA ENTRE CALLE CUAUHTÉMOC Y CALLE LÁZARO CÁRDENAS ,   ATLIXCO EN EL ESTADO DE PUEBLA",621298,0
21,U128,PROYECTOS DE DESARROLLO REGIONAL,21,PUEBLA,19,ATLIXCO,"ADOQUINAMIENTO DE LA CALLE DEL RÍO EN LA COLONIA VALLE SUR ,   ATLIXCO EN EL ESTADO DE PUEBLA",1463440,0
22,U128,PROYECTOS DE DESARROLLO REGIONAL,21,PUEBLA,51,CHIETLA,"ADOQUINAMIENTO DE LA CALLE GALEANA ENTRE LA CALLE MIGUEL HIDALGO Y BENITO JUAREZ ,   EN EL MUNICIPIO DE CHIETLA ,   EN EL ESTADO DE PUEBLA",320000,0
23,U128,PROYECTOS DE DESARROLLO REGIONAL,21,PUEBLA,19,ATLIXCO,"ADOQUINAMIENTO DE LA CALLE INDEPENDENCIA EN LA COLONIA BUGAMBILIAS DE LA LOCALIDAD DE SANTO DOMINGO ATOYATEMPAN ,   MUNICIPIO DE ATLIXCO EN EL ESTADO DE PUEBLA",1121537,0
24,U128,PROYECTOS DE DESARROLLO REGIONAL,21,PUEBLA,113,PIAXTLA,"ADOQUINAMIENTO DE LA CALLE JOSE MARIA MORELOS EN LA LOCALIDAD DE TLAXCUAPAN ,   EN EL MUNICIPIO DE PIAXTLA ,   EN EL ESTADO DE PUEBLA",1326000,0
25,U128,PROYECTOS DE DESARROLLO REGIONAL,21,PUEBLA,51,CHIETLA,"ADOQUINAMIENTO DE LA CALLE MIGUEL HIDALGO DE LA LOCALIDAD DE BUENA VISTA DE JUAREZ ,   EN EL MUNICIPIO DE CHIETLA ,   EN EL ESTADO DE PUEBLA",2560000,0
26,U128,PROYECTOS DE DESARROLLO REGIONAL,21,PUEBLA,117,RAFAEL LARA GRAJALES,ADOQUINAMIENTO DE LA CALLE NACIONAL EN LA LOCALIDAD DE GRAJALES DEL MUNICIPIO DE RAFAEL LARA GRAJALES DEL ESTADO DE PUEBLA,2000000,0
27,U128,PROYECTOS DE DESARROLLO REGIONAL,21,PUEBLA,34,CORONANGO,"ADOQUINAMIENTO DE LA CALLE PORFIRIO DÍAZ ENTRE CALLE MORELOS Y CALLE BENITO JUAREZ EN LA LOCALIDAD DE SAN FRANCISCO OCOTLAN ,   ENE L MUNICIPIO DE CORONANGO ,   EN EL ESTADO DE PUEBLA",2800000,0
28,U128,PROYECTOS DE DESARROLLO REGIONAL,21,PUEBLA,113,PIAXTLA,"ADOQUINAMIENTO DE LA CALLE VICENTE GUERRERO EN LA LOCALIDAD DE TECUAUTITLAN ,   EN EL MUNICIPIO DE PIAXTLA ,   EN EL ESTADO DE PUEBLA",1376000,0
29,U128,PROYECTOS DE DESARROLLO REGIONAL,21,PUEBLA,105,OCOTEPEC,ADOQUINAMIENTO EN CALLE REAL EN LA LOCALIDAD DE OCOTEPEC DEL MUNICIPIO DE OCOTEPEC DEL ESTADO DE PUEBLA,2000000,0
30,U128,PROYECTOS DE DESARROLLO REGIONAL,21,PUEBLA,115,QUECHOLAC,"ADOQUINAMIENTO EN LA CALLE 5 SUR ENTRE CALLES 7 Y 11 PONIENTE EN LA LOCALIDAD DE QUECHOLAC ,   MUNICIPIO DE QUECHOLAC ,   PUEBLA",2000000,0
31,U128,PROYECTOS DE DESARROLLO REGIONAL,16,MICHOACÁN,65,PARACHO,"AGUA POTABLE Y ALCANTARILLADO EN LA CALLE ARROYO SECO ENTRE XICOTÉNCATL Y LUIS SEPÚLVEDA ,   EN PARACHO ,   MICHOACÁN",2379000,0
32,U128,PROYECTOS DE DESARROLLO REGIONAL,8,CHIHUAHUA,37,JUÁREZ,"ALUMBRADA PUBLICO DEPORTIVO  "" CENTENARIO DE LA CONSTITUCION "" . COL. 16 DE SEPTIEMBRE  ,   EN EL MUNICIPIO DE JUÁREZ ,   EN EL ESTADO DE CHIHUAHUA",448959,0
33,U128,PROYECTOS DE DESARROLLO REGIONAL,16,MICHOACÁN,45,JIQUILPAN,"ALUMBRADO CALLE FCO. SARABIA ,   EN EL MUNICIPIO DE JIQUILPAN ,   EN EL ESTADO DE MICHOACÁN",900000,0
34,U128,PROYECTOS DE DESARROLLO REGIONAL,21,PUEBLA,10,AJALPAN,ALUMBRADO DE SALÓN DE USOS MULTIPLES EN BARRIO COCULCO EN AJALPAN EN EL ESTADO DE PUEBLA,2000000,0
35,U128,PROYECTOS DE DESARROLLO REGIONAL,17,MORELOS,7,CUERNAVACA,"AMPLIACIÓN DE AYUDANTÍA MUNICIPAL EN TLALTENANGO ,   CUERNAVACA MORELOS.",1000000,0
36,U128,PROYECTOS DE DESARROLLO REGIONAL,11,GUANAJUATO,22,OCAMPO,"AMPLIACION DE LA LINEA ELECTRICA ,   EN LA COMUNIDAD DE SAN ELIAS ,   CALLE JOSE MARIA MORELOS ,   EN EL MUNICIPIO DE OCAMPO ,   EN EL ESTADO DE GUANAJUATO",890431,0
37,U128,PROYECTOS DE DESARROLLO REGIONAL,11,GUANAJUATO,22,OCAMPO,"AMPLIACION DE LA LINEA ELECTRICA ,   EN LA COMUNIDAD DE SANTA BARBARA ,   CALLE ALLENDE Y BENITO JUAREZ  ,   EN EL MUNICIPIO DE OCAMPO ,   EN EL ESTADO DE GUANAJUATO",797569,0
38,U128,PROYECTOS DE DESARROLLO REGIONAL,11,GUANAJUATO,22,OCAMPO,"AMPLIACIÓN DE LA LÍNEA ELÉCTRICA ,   EN LA COMUNIDAD DEL PUERQUITO ,   CALLE LUIS DONALDO COLOSIO  ,   EN EL MUNICIPIO DE OCAMPO ,   EN EL ESTADO DE GUANAJUATO",1390000,0
39,U128,PROYECTOS DE DESARROLLO REGIONAL,27,TABASCO,15,TACOTALPA,"AMPLIACIÓN DE LA RED DE AGUA POTABLE DEL EJIDO LA CUMBRE EN EL MUNICIPIO DE TACOTALPA ,   TABASCO",7951154,0
40,U128,PROYECTOS DE DESARROLLO REGIONAL,7,CHIAPAS,25,CHAPULTENANGO,"AMPLIACION DE LA RED DE AGUA POTABLE EN LA CABECERA MUNICIPAL ,   EN EL MUNICIPIO DE CHAPULTENANGO ,   EN EL ESTADO DE CHIAPAS",4387690,0
41,U128,PROYECTOS DE DESARROLLO REGIONAL,20,OAXACA,277,VILLA SOLA DE VEGA,"AMPLIACIÓN DE LA RED DE DISTRIBUCIÓN DE ENERGÍA ELÉCTRICA EN EL MUNICIPIO DE VILLA SOLA DE VEGA ,   EN EL ESTADO DE OAXACA",2091251,0
42,U128,PROYECTOS DE DESARROLLO REGIONAL,7,CHIAPAS,49,LARRÁINZAR,"AMPLIACION DE RED DE ENERGIA ,  ELECTRICA EN LA LOCALIDAD DE TABILHUCUM ,   EN EL MUNICIPIO DE LARRÁINZAR ,   EN EL ESTADO DE CHIAPAS",2376285,0
43,U128,PROYECTOS DE DESARROLLO REGIONAL,16,MICHOACÁN,50,MARAVATÍO,"AMPLIACIÓN DEL DRENAJE SANITARIO Y RED DE AGUA POTABLE EN LA CALLE PROLONGACIÓN PÍPILA EN LA LOCALIDAD DE MARAVATÍO DE OCAMPO ,   MUNICIPIO DE MARAVATÍO ,   MICHOACÁN",1800000,0
44,U128,PROYECTOS DE DESARROLLO REGIONAL,7,CHIAPAS,108,VILLAFLORES,"AMPLIACIÓN TRAMO CARRETERO ,   VILLAFLORES-OCOZOCOUTLA EN EL ESTADO DE CHIAPAS",40000000,0
45,U128,PROYECTOS DE DESARROLLO REGIONAL,1,AGUASCALIENTES,2,ASIENTOS,"AMPLIACIÓN Y MODERNIZACIÓN DE CARRETERA TINAJUELA-TEPETATILLO ,   ASIENTOS ,   AGUASCALIENTES",2500000,0
46,U128,PROYECTOS DE DESARROLLO REGIONAL,14,JALISCO,97,TLAJOMULCO DE ZÚÑIGA,"AMPLICACIÓN VIAL A LA AVENIDA JESÚS MICHEL (PROLONGACIÓN 8 DE JULIO) ,   EN EL TRAMO CARRETERA A UNIÓN DEL CUATRO - CABECERA MUNICIPAL ,   EN EL MUNICIPIO DE TLAJOMULCO DE ZÚÑIGA ,   JALISCO.",19500000,0
47,U128,PROYECTOS DE DESARROLLO REGIONAL,17,MORELOS,7,CUERNAVACA,"ANDADOR JACARANDAS NO.1 COLONIA LOMAS DE AHUATLAN ,   CUERNAVACA ,   MORELOS.",700000,0
48,U128,PROYECTOS DE DESARROLLO REGIONAL,16,MICHOACÁN,66,PÁTZCUARO,"ANDADOR Y CAMINO DENOMINADO  "" EL ESTRIBO CHICO ""  EN EL MUNICIPIO PÁTZCUARO ,   MICHOACÁN",5025963,0
49,U128,PROYECTOS DE DESARROLLO REGIONAL,16,MICHOACÁN,107,ZACAPU,ARCO EN GLORIETA EN LA CIUDAD DE ZACAPU EN EL ESTADO DE MICHOACÁN,500000,0
50,U128,PROYECTOS DE DESARROLLO REGIONAL,16,MICHOACÁN,95,TOCUMBO,"ARREGLO CANCHA BASQUETBOL ,   EN EL MUNICIPIO DE TOCUMBO ,   EN EL ESTADO DE MICHOACÁN",250000,0
51,U128,PROYECTOS DE DESARROLLO REGIONAL,28,TAMAULIPAS,29,OCAMPO,"AULA DE APOYO EDUCATIVO USAER DE 6X8 MTS EN ESCUELA PRIMARIA FLORES MAGÓN EN CABECERA MUNICIPAL ,   EN EL MUNICIPIO DE OCAMPO ,   EN EL ESTADO DE TAMAULIPAS",545600,0
52,U128,PROYECTOS DE DESARROLLO REGIONAL,28,TAMAULIPAS,29,OCAMPO,"AULA DIDÁCTICA DE TELESECUNDARIA MTRO. LUIS HUMBERTO HINOJOSA OCHOA EN EL EJIDO FRANCISCO MEDRANO ,   EN EL MUNICIPIO DE OCAMPO ,   EN EL ESTADO DE TAMAULIPAS",545600,0
53,U128,PROYECTOS DE DESARROLLO REGIONAL,12,GUERRERO,49,PILCAYA,"BARDA PERIMETRAL  ,   EN EL MUNICIPIO DE PILCAYA ,   EN EL ESTADO DE GUERRERO",1000000,0
54,U128,PROYECTOS DE DESARROLLO REGIONAL,1,AGUASCALIENTES,2,ASIENTOS,"BULEVAR MANUEL J. CLUTHIER EN LA COMUNIDAD DE LA TINAJUELA ASIENTOS ,   AGUASCALIENTES",1500000,0
55,U128,PROYECTOS DE DESARROLLO REGIONAL,16,MICHOACÁN,19,COTIJA,"CAM. CIRC. RIVIERA LAGO SAN JUANICO ,   EN EL MUNICIPIO DE COTIJA ,   EN EL ESTADO DE MICHOACÁN",500000,0
56,U128,PROYECTOS DE DESARROLLO REGIONAL,16,MICHOACÁN,83,TANCÍTARO,"CAMINO EN EL MUNICIPIO DE TANCÍTARO ,   MICHOACÁN",5124784,0
57,U128,PROYECTOS DE DESARROLLO REGIONAL,21,PUEBLA,114,PUEBLA,"CAMINO RURAL E.C. (EL AGUACATE-LOS ÁNGELES TETELA) ,   SAN JOSÉ XAXACMAYO (SEGUNDA ETAPA) ,   EN EL ESTADO DE PUEBLA",5000000,0
58,U128,PROYECTOS DE DESARROLLO REGIONAL,7,CHIAPAS,78,SAN CRISTÓBAL DE LAS CASAS,"CAMINO RURAL SAN CRISTOBAL- LA CANDELARIA ,   EN EL MUNICIPIO DE SAN CRISTÓBAL DE LAS CASAS ,   EN EL ESTADO DE CHIAPAS",3000000,0
59,U128,PROYECTOS DE DESARROLLO REGIONAL,10,DURANGO,17,OCAMPO,"CAMINO RURAL VILLA OCAMPO - OJITO REHABILITACIÓN ,   EN EL MUNICIPIO DE OCAMPO ,   DURANGO",10000000,0
60,U128,PROYECTOS DE DESARROLLO REGIONAL,30,VERACRUZ,139,SALTABARRANCA,CAMINO SALTABARRANCA - ZAMORA CALETÓN EN EL ESTADO DE VERACRUZ,19700000,0
61,U128,PROYECTOS DE DESARROLLO REGIONAL,10,DURANGO,17,OCAMPO,"CAMINO SAN GABRIEL - VILLA OCAMPO PAVIMENTO HIDRÁULICO EN EL MUNICIPIO DE OCAMPO ,   DURANGO",5000000,0
62,U128,PROYECTOS DE DESARROLLO REGIONAL,16,MICHOACÁN,78,SANTA ANA MAYA,"CAMINO SAN RAFAEL- EL CUERVO ,   EN EL MUNICIPIO DE SANTA ANA MAYA ,   EN EL ESTADO DE MICHOACÁN",5588000,0
63,U128,PROYECTOS DE DESARROLLO REGIONAL,7,CHIAPAS,94,TEOPISCA,CAMINO TEOPISCA-SAN ISIDRO CHIJILTE EN EL ESTADO DE CHIAPAS,5000000,0
64,U128,PROYECTOS DE DESARROLLO REGIONAL,23,QUINTANA ROO,6,JOSÉ MARÍA MORELOS,"CANCHA DE FUTBOL EN LA CABECERA MUNICIPAL ,   EN EL MUNICIPIO DE JOSÉ MARÍA MORELOS ,   EN EL ESTADO DE QUINTANA ROO",2500000,0
65,U128,PROYECTOS DE DESARROLLO REGIONAL,16,MICHOACÁN,76,SAHUAYO,"CANCHA DE USOS MULTIPLES B. AGUACATE ,   EN EL MUNICIPIO DE SAHUAYO ,   EN EL ESTADO DE MICHOACÁN",300000,0
66,U128,PROYECTOS DE DESARROLLO REGIONAL,7,CHIAPAS,78,SAN CRISTÓBAL DE LAS CASAS,"CANCHA DE USOS MÚLTIPLES EJIDO EL CARMEN ARCOTETE ,   EN EL MUNICIPIO DE SAN CRISTÓBAL DE LAS CASAS ,   EN EL ESTADO DE CHIAPAS",1500000,0
67,U128,PROYECTOS DE DESARROLLO REGIONAL,7,CHIAPAS,38,HUIXTÁN,"CANCHA DE USOS MULTIPLES EN BARRIO SAN SEBASTIÁN ,   EN EL MUNICIPIO DE HUIXTÁN ,   EN EL ESTADO DE CHIAPAS",1500000,0
68,U128,PROYECTOS DE DESARROLLO REGIONAL,7,CHIAPAS,38,HUIXTÁN,"CANCHA DE USOS MULTIPLES EN LA LOCALIDAD ESPUHILÓ ,   EN EL MUNICIPIO DE HUIXTÁN ,   EN EL ESTADO DE CHIAPAS",1500000,0
69,U128,PROYECTOS DE DESARROLLO REGIONAL,22,QUERÉTARO,4,CADEREYTA DE MONTES,"CANCHA DE USOS MULTIPLES SAN MARTIN LA FLORIDA ,   EN EL MUNICIPIO DE CADEREYTA DE MONTES ,   EN EL ESTADO DE QUERÉTARO",1500000,0
70,U128,PROYECTOS DE DESARROLLO REGIONAL,22,QUERÉTARO,2,PINAL DE AMOLES,"CANCHA DE USOS MULTIPLES Y TECHUMBRE SAN PEDRO EL VIEJO ,   EN EL MUNICIPIO DE PINAL DE AMOLES ,   EN EL ESTADO DE QUERÉTARO",1900000,0
71,U128,PROYECTOS DE DESARROLLO REGIONAL,30,VERACRUZ,195,XOXOCOTLA,CANCHA DEPORTIVA MULTIUSOS TECHADA EN LA LOCALIDAD DE EL PERICÓN DEL MUNICIPIO DE XOXOCOTLA EN EL ESTADO DE VERACRUZ,800000,0
72,U128,PROYECTOS DE DESARROLLO REGIONAL,15,MÉXICO,13,ATIZAPÁN DE ZARAGOZA,"CANCHAS DEPORTIVAS Y CONSTRUCCIÓN DE ARCOTECHO ,   EN EL MUNICIPIO DE ATIZAPÁN DE ZARAGOZA ,   EN EL ESTADO DE MÉXICO",950000,0
73,U128,PROYECTOS DE DESARROLLO REGIONAL,25,SINALOA,16,SAN IGNACIO,"CARRETERA SAN IGNACIO - TAYOLTITA ,   TRAMO SAN JUAN - TAYOLTITA ,   EN SINALOA",40000000,0
74,U128,PROYECTOS DE DESARROLLO REGIONAL,10,DURANGO,17,OCAMPO,"CARRETERA TORREÓN DE CAÑAS - CARRETERA 45 ,   REHABILITACIÓN CON ASFALTO EN EL MUNICIPIO DE OCAMPO ,   DURANGO",5000000,0
75,U128,PROYECTOS DE DESARROLLO REGIONAL,16,MICHOACÁN,35,LA HUACANA,"CARRTERA CAYACO- HACIENDA VIEJA ,   EN EL MUNICIPIO DE LA HUACANA ,   EN EL ESTADO DE MICHOACÁN",22900000,0
76,U128,PROYECTOS DE DESARROLLO REGIONAL,2,BAJA CALIFORNIA,3,TECATE,"CASA DE DESARROLLO COMUNITARIO CLUB DE NIÑOS Y NIÑAS ,   EN EL MUNICIPIO DE TECATE ,   EN EL ESTADO DE BAJA CALIFORNIA",4000000,0
77,U128,PROYECTOS DE DESARROLLO REGIONAL,26,SONORA,23,CUMPAS,"CASA DE LA CULTURA ,   EN EL MUNICIPIO DE CUMPAS ,   EN EL ESTADO DE SONORA",5000000,0
78,U128,PROYECTOS DE DESARROLLO REGIONAL,29,TLAXCALA,32,TETLATLAHUCA,"CASA DE LA CULTURA ,   EN EL MUNICIPIO DE TETLATLAHUCA ,   EN EL ESTADO DE TLAXCALA",2702231,0
79,U128,PROYECTOS DE DESARROLLO REGIONAL,14,JALISCO,18,LA BARCA,"CENTRO COMUNITARIO  ,   EN EL MUNICIPIO DE LA BARCA ,   EN EL ESTADO DE JALISCO",3000000,0
80,U128,PROYECTOS DE DESARROLLO REGIONAL,14,JALISCO,47,JAMAY,"CENTRO COMUNITARIO PARA JÓVENES ,   EN EL MUNICIPIO DE JAMAY ,   EN EL ESTADO DE JALISCO",2000000,0
81,U128,PROYECTOS DE DESARROLLO REGIONAL,22,QUERÉTARO,18,TOLIMÁN,"CENTRO DE DESARROLLO COMUNITARIO 1 RA ETAPA ,   EN EL MUNICIPIO DE TOLIMÁN ,   EN EL ESTADO DE QUERÉTARO",2667048,0
82,U128,PROYECTOS DE DESARROLLO REGIONAL,23,QUINTANA ROO,4,OTHÓN P. BLANCO,"CENTRO DE SALUD EN FRACCIONAMIENTO CARIBE ,   EN EL MUNICIPIO DE OTHÓN P. BLANCO ,   EN EL ESTADO DE QUINTANA ROO",6000000,0
83,U128,PROYECTOS DE DESARROLLO REGIONAL,13,HIDALGO,9999,COBERTURA ESTATAL,"CIUDAD DEL CONOCIMIENTO Y LA CULTURA ,   EN EL ESTADO DE HIDALGO",200000000,0
84,U128,PROYECTOS DE DESARROLLO REGIONAL,6,COLIMA,8,MINATITLÁN,"CONSOLIDACIÓN DE TALUDES EN CARRETERA VILLA DE ÁLVAREZ- MINATITLÁN EN LOS KM.43 ,   EN COLIMA",15000000,0
85,U128,PROYECTOS DE DESARROLLO REGIONAL,16,MICHOACÁN,76,SAHUAYO,"CONST. PARQ. LUDICO  "" FLAMINGOS ""   ,    EN EL MUNICIPIO DE SAHUAYO ,   EN EL ESTADO DE MICHOACÁN",300000,0
86,U128,PROYECTOS DE DESARROLLO REGIONAL,29,TLAXCALA,59,SANTA CRUZ QUILEHTLA,"CONSTRUCCIÓN DE AULAS Y CERCADO EN FACHADA EN JARDÍN DE NIÑOS ROMAN SALDAÑA OROPEZA ,   EN EL MUNICIPIO DE SANTA CRUZ QUILEHTLA ,   EN EL ESTADO DE TLAXCALA",1050960,0
87,U128,PROYECTOS DE DESARROLLO REGIONAL,16,MICHOACÁN,8,AQUILA,"CONSTRUCCIÓN DE TECHUMBRE EN LA PLAZA PRINCIPAL DE LA LOCALIDAD DE SANTA MARIA DE OSTULA EN MUNICIPIO DE AQUILA ,   MICHOACÁN",1120359,0
88,U128,PROYECTOS DE DESARROLLO REGIONAL,16,MICHOACÁN,67,PENJAMILLO,"CONSTRUCCIÓN DEL CENTRO PERIMETRAL EN EL CECYTE 01 ,   EN EL MUNICIPIO DE PENJAMILLO ,   EN EL ESTADO DE MICHOACÁN",1502698,0
89,U128,PROYECTOS DE DESARROLLO REGIONAL,15,MÉXICO,57,NAUCALPAN DE JUÁREZ,"CONSTRUCCIÓN ARCOTECHO ,   EN EL MUNICIPIO DE NAUCALPAN DE JUÁREZ ,   EN EL ESTADO DE MÉXICO",2200000,0
90,U128,PROYECTOS DE DESARROLLO REGIONAL,15,MÉXICO,92,TEOTIHUACÁN,"CONSTRUCCIÓN ARCOTECHO ,   EN EL MUNICIPIO DE TEOTIHUACÁN ,   EN EL ESTADO DE MÉXICO",1100000,0
91,U128,PROYECTOS DE DESARROLLO REGIONAL,15,MÉXICO,104,TLALNEPANTLA DE BAZ,"CONSTRUCCIÓN ARCOTECHO ,   EN EL MUNICIPIO DE TLALNEPANTLA DE BAZ ,   EN EL ESTADO DE MÉXICO",4000000,0
92,U128,PROYECTOS DE DESARROLLO REGIONAL,15,MÉXICO,109,TULTITLÁN,"CONSTRUCCIÓN ARCOTECHO ,   EN EL MUNICIPIO DE TULTITLÁN ,   EN EL ESTADO DE MÉXICO",2300000,0
93,U128,PROYECTOS DE DESARROLLO REGIONAL,15,MÉXICO,121,CUAUTITLÁN IZCALLI,"CONSTRUCCIÓN AULA ,   EN EL MUNICIPIO DE CUAUTITLÁN IZCALLI ,   EN EL ESTADO DE MÉXICO",250000,0
94,U128,PROYECTOS DE DESARROLLO REGIONAL,30,VERACRUZ,30,CAMERINO Z. MENDOZA,CONSTRUCCIÓN CANCHA DEPORTIVA EN EL MUNICIPIO DE CAMERINO Z. MENDOZA EN EL ESTADO DE VERACRUZ,700000,0
95,U128,PROYECTOS DE DESARROLLO REGIONAL,16,MICHOACÁN,23,CHAVINDA,"CONSTRUCCIÓN CANCHA MULTIUSOS ,   EN EL MUNICIPIO DE CHAVINDA ,   EN EL ESTADO DE MICHOACÁN",500000,0
96,U128,PROYECTOS DE DESARROLLO REGIONAL,16,MICHOACÁN,11,BRISEÑAS,"CONSTRUCCIÓN CARCAMO SAN MIGUEL ,   EN EL MUNICIPIO DE BRISEÑAS ,   EN EL ESTADO DE MICHOACÁN",250000,0
97,U128,PROYECTOS DE DESARROLLO REGIONAL,16,MICHOACÁN,19,COTIJA,"CONSTRUCCION COMEDOR COMUNITARIO ,   EN EL MUNICIPIO DE COTIJA ,   EN EL ESTADO DE MICHOACÁN",500000,0
98,U128,PROYECTOS DE DESARROLLO REGIONAL,23,QUINTANA ROO,5,BENITO JUÁREZ,"CONSTRUCCION CON CARPETA ASFALTICA DE LA AV. CHAC MOOL ENTRE AV. FONATUR Y AV. HUAYACAN ,   PRIMERA ETAPA ,   BENITO JUÁREZ ,   QUINTANA ROO.",49550000,0
99,U128,PROYECTOS DE DESARROLLO REGIONAL,23,QUINTANA ROO,5,BENITO JUÁREZ,"CONSTRUCCION CON CARPETA ASFALTICA DE LA AV. CHAC MOOL ENTRE AV. FONATUR Y AV. HUAYACAN ,  SEGUNDA ETAPA ,   BENITO JUÁREZ ,   QUINTANA ROO.",59911390,0
