numero_de_proyecto,clave_de_programa,Fondo,id_entidad,entidad,id_municipio,municipio,proyecto,monto,Pagado
860,U128,PROYECTOS DE DESARROLLO REGIONAL,14,JALISCO,16,AYOTLÁN,"INFRAESTRUCTURA SOCIAL PARA EL MUNICIPIO DE AYOTLÁN ,   JALISCO",4750000,0
861,U128,PROYECTOS DE DESARROLLO REGIONAL,16,MICHOACÁN,20,CUITZEO,"INFRAESTRUCTURA SOCIAL PARA EL MUNICIPIO DE CUITZEO ,   MICHOACÁN.",1500000,0
862,U128,PROYECTOS DE DESARROLLO REGIONAL,12,GUERRERO,75,EDUARDO NERI,INFRAESTRUCTURA SOCIAL PARA EL MUNICIPIO DE EDUARDO NERI. ESTADO DE GUERRERO,1500000,0
863,U128,PROYECTOS DE DESARROLLO REGIONAL,16,MICHOACÁN,36,HUANDACAREO,"INFRAESTRUCTURA SOCIAL PARA EL MUNICIPIO DE HUANDACAREO ,   MICHOACÁN.",1000000,0
864,U128,PROYECTOS DE DESARROLLO REGIONAL,13,HIDALGO,28,HUEJUTLA DE REYES,INFRAESTRUCTURA SOCIAL PARA EL MUNICIPIO DE HUEJUTLA DE REYES HIDALGO,10000000,0
865,U128,PROYECTOS DE DESARROLLO REGIONAL,16,MICHOACÁN,113,JOSÉ SIXTO VERDUZCO,"INFRAESTRUCTURA SOCIAL PARA EL MUNICIPIO DE JOSÉ SIXTO VERDUZCO ,   MICHOACÁN.",2000000,0
866,U128,PROYECTOS DE DESARROLLO REGIONAL,16,MICHOACÁN,66,PÁTZCUARO,"INFRAESTRUCTURA SOCIAL PARA EL MUNICIPIO DE PÁTZCUARO ,   MICHOACÁN.",8000000,0
867,U128,PROYECTOS DE DESARROLLO REGIONAL,16,MICHOACÁN,100,TZINTZUNTZAN,"INFRAESTRUCTURA SOCIAL PARA EL MUNICIPIO DE TZINTZUNTZAN ,   MICHOACÁN.",1500000,0
868,U128,PROYECTOS DE DESARROLLO REGIONAL,12,GUERRERO,38,ZIHUATANEJO DE AZUETA,INFRAESTRUCTURA SOCIAL PARA EL MUNICIPIO DE ZIHUATANEJO DE AZUETA. ESTADO DE GUERRERO,3000000,0
869,U128,PROYECTOS DE DESARROLLO REGIONAL,1,AGUASCALIENTES,1,AGUASCALIENTES,"INFRAESTRUCTURA SOCIAL ,   EN EL MUNICIPIO AGUASCALIENTES ,   EN EL ESTADO DE AGUASCALIENTES",6955623,0
870,U128,PROYECTOS DE DESARROLLO REGIONAL,11,GUANAJUATO,1,ABASOLO,"INFRAESTRUCTURA SOCIAL ,   EN EL MUNICIPIO DE ABASOLO ,   EN EL ESTADO DE GUANAJUATO",3000000,0
