CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLA,PAN,PRI,PRD,PVEM,MC,NVA_ALIANZA,PAC,PS,MORENA,ES,PRI_PVEM_NVA_ALIANZA_PS,PRI_NVA_ALIANZA_PVEM,PRI_PS_PVEM,PRI_PS_NVA_ALIANZA,PVEM_PS_NVA_ALIANZA,PRI_PVEM,PRI_NVA_ALIANZA,PRI_PS,PVEM_NVA_ALIANZA,PVEM_PS,NVA_ALIANZA_PS,CAND_IND1,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TEPJF,OBSERVACIONES,RUTA_ACTA
4,29,TLAXCALA,8,CONTLA DE JUAN CUAMATZI,2,APETATITLAN DE ANTONIO CARVAJAL,5,C01,61,121,175,5,6,3,5,2,31,2,0,1,0,0,0,0,0,0,0,0,0,8,0,420,11,431,592,Recuento,,,http://www.itetlax.org.mx/wp-content/uploads/2016/Transparencia/ART67_ITE/Computos%20Totales_i/Computos_Totales_Gobernador/Actas%20Recuento/Actas_Nuevo_Escru_8.pdf
4,29,TLAXCALA,8,CONTLA DE JUAN CUAMATZI,2,APETATITLAN DE ANTONIO CARVAJAL,5,C02,77,143,126,3,8,8,3,0,35,0,0,0,0,0,0,1,1,0,0,0,0,9,0,414,14,428,591,Recuento,,,http://www.itetlax.org.mx/wp-content/uploads/2016/Transparencia/ART67_ITE/Computos%20Totales_i/Computos_Totales_Gobernador/Actas%20Recuento/Actas_Nuevo_Escru_8.pdf
4,29,TLAXCALA,8,CONTLA DE JUAN CUAMATZI,2,APETATITLAN DE ANTONIO CARVAJAL,5,C03,66,128,155,5,1,6,5,1,37,2,2,0,0,0,0,0,0,0,0,0,0,5,0,413,9,422,591,Recuento,,,http://www.itetlax.org.mx/wp-content/uploads/2016/Transparencia/ART67_ITE/Computos%20Totales_i/Computos_Totales_Gobernador/Actas%20Recuento/Actas_Nuevo_Escru_8.pdf
4,29,TLAXCALA,8,CONTLA DE JUAN CUAMATZI,2,APETATITLAN DE ANTONIO CARVAJAL,6,B,56,87,88,1,2,0,9,0,11,0,3,1,0,0,0,1,0,0,0,0,0,6,0,265,8,273,413,Recuento,,,http://www.itetlax.org.mx/wp-content/uploads/2016/Transparencia/ART67_ITE/Computos%20Totales_i/Computos_Totales_Gobernador/Actas%20Recuento/Actas_Nuevo_Escru_8.pdf
4,29,TLAXCALA,8,CONTLA DE JUAN CUAMATZI,2,APETATITLAN DE ANTONIO CARVAJAL,6,C01,71,64,96,1,4,0,9,0,15,5,2,0,0,0,0,0,0,0,0,0,0,5,0,272,7,279,413,Recuento,,,http://www.itetlax.org.mx/wp-content/uploads/2016/Transparencia/ART67_ITE/Computos%20Totales_i/Computos_Totales_Gobernador/Actas%20Recuento/Actas_Nuevo_Escru_8.pdf
4,29,TLAXCALA,8,CONTLA DE JUAN CUAMATZI,2,APETATITLAN DE ANTONIO CARVAJAL,7,B,32,59,92,1,3,0,5,0,11,0,0,0,0,0,0,0,0,0,0,0,0,4,0,207,10,217,305,Recuento,,,http://www.itetlax.org.mx/wp-content/uploads/2016/Transparencia/ART67_ITE/Computos%20Totales_i/Computos_Totales_Gobernador/Actas%20Recuento/Actas_Nuevo_Escru_8.pdf
4,29,TLAXCALA,8,CONTLA DE JUAN CUAMATZI,2,APETATITLAN DE ANTONIO CARVAJAL,8,B,94,153,158,1,7,5,11,0,27,2,0,1,0,0,0,0,0,0,0,0,0,15,0,474,11,485,708,Recuento,,,http://www.itetlax.org.mx/wp-content/uploads/2016/Transparencia/ART67_ITE/Computos%20Totales_i/Computos_Totales_Gobernador/Actas%20Recuento/Actas_Nuevo_Escru_8.pdf
4,29,TLAXCALA,8,CONTLA DE JUAN CUAMATZI,2,APETATITLAN DE ANTONIO CARVAJAL,8,C01,115,147,153,3,3,3,10,1,30,2,1,0,0,0,0,0,0,0,0,0,0,8,0,476,13,489,708,Recuento,,,http://www.itetlax.org.mx/wp-content/uploads/2016/Transparencia/ART67_ITE/Computos%20Totales_i/Computos_Totales_Gobernador/Actas%20Recuento/Actas_Nuevo_Escru_8.pdf
4,29,TLAXCALA,8,CONTLA DE JUAN CUAMATZI,2,APETATITLAN DE ANTONIO CARVAJAL,8,C02,101,156,166,5,6,3,18,1,34,2,1,0,0,0,0,0,1,0,0,0,0,9,1,504,9,513,707,Recuento,,,http://www.itetlax.org.mx/wp-content/uploads/2016/Transparencia/ART67_ITE/Computos%20Totales_i/Computos_Totales_Gobernador/Actas%20Recuento/Actas_Nuevo_Escru_8.pdf
4,29,TLAXCALA,8,CONTLA DE JUAN CUAMATZI,2,APETATITLAN DE ANTONIO CARVAJAL,9,B,105,104,116,3,7,7,14,0,32,1,0,0,0,0,0,1,0,0,0,0,0,7,0,397,8,405,568,Recuento,,,http://www.itetlax.org.mx/wp-content/uploads/2016/Transparencia/ART67_ITE/Computos%20Totales_i/Computos_Totales_Gobernador/Actas%20Recuento/Actas_Nuevo_Escru_8.pdf
4,29,TLAXCALA,8,CONTLA DE JUAN CUAMATZI,2,APETATITLAN DE ANTONIO CARVAJAL,9,C01,131,73,159,2,8,3,10,0,18,1,1,0,0,0,0,0,0,0,0,0,0,9,0,415,2,417,568,Recuento,,,http://www.itetlax.org.mx/wp-content/uploads/2016/Transparencia/ART67_ITE/Computos%20Totales_i/Computos_Totales_Gobernador/Actas%20Recuento/Actas_Nuevo_Escru_8.pdf
4,29,TLAXCALA,8,CONTLA DE JUAN CUAMATZI,2,APETATITLAN DE ANTONIO CARVAJAL,9,C02,126,85,145,3,7,4,14,2,19,1,1,0,0,0,0,0,0,0,0,0,0,3,0,410,10,420,568,Recuento,,,http://www.itetlax.org.mx/wp-content/uploads/2016/Transparencia/ART67_ITE/Computos%20Totales_i/Computos_Totales_Gobernador/Actas%20Recuento/Actas_Nuevo_Escru_8.pdf
4,29,TLAXCALA,8,CONTLA DE JUAN CUAMATZI,2,APETATITLAN DE ANTONIO CARVAJAL,9,C03,107,99,133,0,4,4,10,2,20,1,0,0,0,0,0,0,0,0,0,0,0,10,12,402,12,414,567,Acta casilla,,,http://www.itetlax.org.mx/wp-content/uploads/2016/Transparencia/ART67_ITE/Computos%20Totales_i/Computos_Totales_Gobernador/Actas%20de%20Escrutinio%20y%20Computo/AEYC_Distrito_8.pdf
4,29,TLAXCALA,8,CONTLA DE JUAN CUAMATZI,2,APETATITLAN DE ANTONIO CARVAJAL,10,B,79,113,170,2,4,4,10,4,20,2,0,0,0,0,0,1,0,0,0,0,0,9,0,418,9,427,591,Acta casilla,,,http://www.itetlax.org.mx/wp-content/uploads/2016/Transparencia/ART67_ITE/Computos%20Totales_i/Computos_Totales_Gobernador/Actas%20de%20Escrutinio%20y%20Computo/AEYC_Distrito_8.pdf
